id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
Y00980,2481622,SPECIES,Stercorarius antarcticus,Stercorarius antarcticus,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius antarcticus,NA,"Stercorarius antarcticus (Lesson, 1831)",Stercorarius antarcticus,ACCEPTED,100,EXACT,2019-11-01T16:13:47Z
Y01024,2435422,SPECIES,Dasycercus cristicauda,Dasycercus cristicauda  (NC),Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasycercus,Dasycercus cristicauda,NA,"Dasycercus cristicauda (Krefft, 1867)",Dasycercus cristicauda,ACCEPTED,100,EXACT,2019-11-01T16:01:17Z
Y01068,2435396,SPECIES,Sminthopsis ooldea,Sminthopsis ooldea,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis ooldea,NA,"Sminthopsis ooldea Troughton, 1965",Sminthopsis ooldea,ACCEPTED,100,EXACT,2019-11-01T16:13:34Z
Y01076,2435408,SPECIES,Sminthopsis hirtipes,Sminthopsis hirtipes,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis hirtipes,NA,"Sminthopsis hirtipes Thomas, 1898",Sminthopsis hirtipes,ACCEPTED,100,EXACT,2019-11-01T16:13:31Z
Y01092,2435311,SPECIES,Isoodon obesulus,Isoodon obesulus,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,Isoodon obesulus,NA,"Isoodon obesulus (Shaw, 1797)",Isoodon obesulus,ACCEPTED,100,EXACT,2019-11-01T16:04:58Z
Y01324,2433008,GENUS,Tadarida,Austronomus australis,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,NA,NA,"Tadarida Rafinesque, 1814",Tadarida,ACCEPTED,NA,Synonym,2019-11-01T15:57:10Z
Y01412,7429082,SPECIES,Mus musculus,Mus musculus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,NA,"Mus musculus Linnaeus, 1758",Mus musculus,ACCEPTED,100,EXACT,2019-11-01T16:07:51Z
Y01480,2438971,SPECIES,Notomys mitchellii,Notomys mitchellii,Animalia,Chordata,Mammalia,Rodentia,Muridae,Notomys,Notomys mitchellii,NA,"Notomys mitchellii (Ogilby, 1838)",Notomys mitchellii,ACCEPTED,100,EXACT,2019-11-01T16:08:50Z
Y01536,2435035,SPECIES,Felis catus,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,NA,"Felis catus Linnaeus, 1758",Felis catus,ACCEPTED,100,EXACT,2019-11-01T16:02:57Z
Y01616,8324617,SPECIES,Delphinus delphis,Delphinus delphis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,Delphinus delphis,NA,"Delphinus delphis Linnaeus, 1758",Delphinus delphis,ACCEPTED,100,EXACT,2019-11-01T16:01:30Z
Y02052,5789699,SPECIES,Lucasium byrnei,Lucasium byrnei,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Lucasium,Lucasium byrnei,NA,"Lucasium byrnei (Lucas & Frost, 1896)",Lucasium byrnei,ACCEPTED,100,EXACT,2019-11-01T16:06:18Z
Y02060,6066781,SPECIES,Lucasium maini,Diplodactylus maini,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Lucasium,Lucasium maini,NA,"Lucasium maini (Kluge, 1962)",Lucasium maini,ACCEPTED,NA,Synonym,2019-11-01T16:01:48Z
Y02176,5226054,SPECIES,Ctenophorus chapmani,Ctenophorus chapmani,Animalia,Chordata,Reptilia,Squamata,Agamidae,Ctenophorus,Ctenophorus chapmani,NA,"Ctenophorus chapmani (Storr, 1977)",Ctenophorus chapmani,ACCEPTED,100,EXACT,2019-11-01T16:00:28Z
Y02184,5226051,SPECIES,Ctenophorus fionni,Ctenophorus fionni,Animalia,Chordata,Reptilia,Squamata,Agamidae,Ctenophorus,Ctenophorus fionni,NA,"Ctenophorus fionni (Procter, 1923)",Ctenophorus fionni,ACCEPTED,100,EXACT,2019-11-01T16:00:30Z
Y02192,8575924,SPECIES,Pogona minor,Pogona minor,Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,Pogona minor,NA,"Pogona minor (Sternfeld, 1919)",Pogona minor,ACCEPTED,100,EXACT,2019-11-01T16:11:14Z
Y02204,2465641,SPECIES,Pogona vitticeps,Pogona vitticeps,Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,Pogona vitticeps,NA,"Pogona vitticeps (Ahl, 1926)",Pogona vitticeps,ACCEPTED,100,EXACT,2019-11-01T16:11:18Z
Y02344,2462264,SPECIES,Ctenotus calurus,Ctenotus calurus,Animalia,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,Ctenotus calurus,NA,"Ctenotus calurus Storr, 1969",Ctenotus calurus,ACCEPTED,100,EXACT,2019-11-01T16:00:43Z
Y02360,2462355,SPECIES,Ctenotus joanae,Ctenotus joanae,Animalia,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,Ctenotus joanae,NA,"Ctenotus joanae Storr, 1970",Ctenotus joanae,ACCEPTED,100,EXACT,2019-11-01T16:00:47Z
Y02408,2463131,SPECIES,Egernia cunninghami,Egernia cunninghami,Animalia,Chordata,Reptilia,Squamata,Scincidae,Egernia,Egernia cunninghami,NA,"Egernia cunninghami (Gray, 1832)",Egernia cunninghami,ACCEPTED,100,EXACT,2019-11-01T16:02:06Z
Y02492,2464605,SPECIES,Lerista muelleri,Lerista muelleri  (NC),Animalia,Chordata,Reptilia,Squamata,Scincidae,Lerista,Lerista muelleri,NA,"Lerista muelleri (Fischer, 1881)",Lerista muelleri,ACCEPTED,100,EXACT,2019-11-01T16:05:35Z
Y02572,2462520,SPECIES,Tiliqua adelaidensis,Tiliqua adelaidensis,Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua adelaidensis,NA,"Tiliqua adelaidensis (Peters, 1863)",Tiliqua adelaidensis,ACCEPTED,100,EXACT,2019-11-01T16:14:51Z
Y02580,2462503,SPECIES,Tiliqua scincoides,Tiliqua scincoides,Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua scincoides,NA,"Tiliqua scincoides (White, 1790)",Tiliqua scincoides,ACCEPTED,100,EXACT,2019-11-01T16:14:54Z
