id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
K04253,2481721,SPECIES,Tringa flavipes,Tringa flavipes,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa flavipes,Lesser Yellowlegs,"Tringa flavipes (Gmelin, 1789)",Tringa flavipes,ACCEPTED,100,EXACT,2019-12-02T14:55:47Z
K04261,5843339,SPECIES,Lucasium steindachneri,Lucasium steindachneri,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Lucasium,Lucasium steindachneri,Box-patterned Gecko,"Lucasium steindachneri (Boulenger, 1885)",Lucasium steindachneri,ACCEPTED,100,EXACT,2019-12-02T14:41:11Z
K04369,4846335,SPECIES,Calamanthus pyrrhopygius,Hylacola pyrrhopygius parkeri,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Calamanthus,Calamanthus pyrrhopygius,Chestnut-rumped Heathwren,"Calamanthus pyrrhopygius (Vigors & Horsfield, 1827)",Calamanthus pyrrhopygius,ACCEPTED,NA,Synonym,2019-12-02T14:38:21Z
K04377,4846335,SPECIES,Calamanthus pyrrhopygius,Hylacola pyrrhopygius pyrrhopygia,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Calamanthus,Calamanthus pyrrhopygius,Chestnut-rumped Heathwren,"Calamanthus pyrrhopygius (Vigors & Horsfield, 1827)",Calamanthus pyrrhopygius,ACCEPTED,NA,Synonym,2019-12-02T14:38:22Z
K04385,7341278,SUBSPECIES,Melanodryas cucullata,Melanodryas cucullata cucullata,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Melanodryas,Melanodryas cucullata,NA,Melanodryas cucullata cucullata,Melanodryas cucullata cucullata,ACCEPTED,100,EXACT,2019-12-02T14:42:12Z
K04393,2440447,SPECIES,Tursiops truncatus,Tursiops truncatus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,Tursiops truncatus,Bottlenose Dolphin,"Tursiops truncatus (Montagu, 1821)",Tursiops truncatus,ACCEPTED,99,EXACT,2019-12-02T14:56:12Z
K04405,5209327,SPECIES,Macquaria ambigua,Macquaria ambigua ambigua,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,Macquaria,Macquaria ambigua,Golden perch,"Macquaria ambigua (Richardson, 1845)",Macquaria ambigua,ACCEPTED,100,HIGHERRANK,2019-12-02T14:41:18Z
K04421,2464605,SPECIES,Lerista muelleri,Lerista timida,Animalia,Chordata,Reptilia,Squamata,Scincidae,Lerista,Lerista muelleri,Wood Mulch-slider,"Lerista muelleri (Fischer, 1881)",Lerista muelleri,ACCEPTED,NA,Synonym,2019-12-02T14:40:05Z
K04537,2446568,SPECIES,Rhynchoedura ornata,Rhynchoedura ornata (revised),Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Rhynchoedura,Rhynchoedura ornata,Western Beaked Gecko,"Rhynchoedura ornata Günther, 1867",Rhynchoedura ornata,ACCEPTED,100,EXACT,2019-12-02T14:52:02Z
K04553,2380288,SPECIES,Cristiceps australis,Cristiceps australis,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Cristiceps,Cristiceps australis,crested weedfish,"Cristiceps australis Valenciennes, 1836",Cristiceps australis,ACCEPTED,100,EXACT,2019-12-02T14:31:26Z
K04597,2383954,SPECIES,Austrolabrus maculatus,Austrolabrus maculatus,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Austrolabrus,Austrolabrus maculatus,Black-spotted parrot fish,"Austrolabrus maculatus (Macleay, 1881)",Austrolabrus maculatus,ACCEPTED,100,EXACT,2019-12-02T14:26:16Z
K04609,2374382,SPECIES,Pempheris ornata,Pempheris ornata,Animalia,Chordata,Actinopterygii,Perciformes,Pempheridae,Pempheris,Pempheris ornata,Orangelined bullseye,"Pempheris ornata Mooi & Jubb, 1996",Pempheris ornata,ACCEPTED,100,EXACT,2019-12-02T14:47:32Z
K04617,2394253,SPECIES,Sphyraena novaehollandiae,Sphyraena novaehollandiae,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena novaehollandiae,Arrow barracuda,"Sphyraena novaehollandiae Günther, 1860",Sphyraena novaehollandiae,ACCEPTED,100,EXACT,2019-12-02T14:53:19Z
K04633,2391990,SPECIES,Enoplosus armatus,Enoplosus armatus,Animalia,Chordata,Actinopterygii,Perciformes,Enoplosidae,Enoplosus,Enoplosus armatus,Old wife,"Enoplosus armatus (White, 1790)",Enoplosus armatus,ACCEPTED,100,EXACT,2019-12-02T14:34:36Z
K04641,2392721,SPECIES,Trinorfolkia clarkei,Trinorfolkia clarkei,Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Trinorfolkia,Trinorfolkia clarkei,Clarke's triplefin,"Trinorfolkia clarkei (Morton, 1888)",Trinorfolkia clarkei,ACCEPTED,100,EXACT,2019-12-02T14:55:53Z
K04677,2418976,SPECIES,Aptychotrema vincentiana,Aptychotrema vincentiana,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Aptychotrema,Aptychotrema vincentiana,Western shovelnose ray,"Aptychotrema vincentiana (Haacke, 1885)",Aptychotrema vincentiana,ACCEPTED,100,EXACT,2019-12-02T14:25:08Z
K04837,2397498,SPECIES,Siphamia cephalotes,Siphamia cephalotes,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Siphamia,Siphamia cephalotes,Little siphonfish,"Siphamia cephalotes (Castelnau, 1875)",Siphamia cephalotes,ACCEPTED,100,EXACT,2019-12-02T14:52:52Z
K04845,2337297,SPECIES,Neosebastes bougainvillii,Neosebastes bougainvillii,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Neosebastidae,Neosebastes,Neosebastes bougainvillii,Gulf gurnard perch,"Neosebastes bougainvillii (Cuvier, 1829)",Neosebastes bougainvillii,ACCEPTED,100,EXACT,2019-12-02T14:44:40Z
K04853,5211548,SPECIES,Vincentia conspersa,Vincentia conspersa,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Vincentia,Vincentia conspersa,Orange cardinalfish,"Vincentia conspersa (Klunzinger, 1872)",Vincentia conspersa,ACCEPTED,100,EXACT,2019-12-02T14:56:56Z
K04861,2391175,SPECIES,Pseudocaranx dentex,Pseudocaranx georgianus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Pseudocaranx,Pseudocaranx dentex,Silver trevally,"Pseudocaranx dentex (Bloch & Schneider, 1801)",Pseudocaranx dentex,ACCEPTED,NA,Synonym,2019-12-02T14:50:18Z
K04985,2406866,SPECIES,Eubalichthys mosaicus,Eubalichthys mosaicus,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Eubalichthys,Eubalichthys mosaicus,Deep-bodied leatherjacket,"Eubalichthys mosaicus (Ramsay & Ogilby, 1886)",Eubalichthys mosaicus,ACCEPTED,100,EXACT,2019-12-02T14:35:06Z
